CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-068645 CV,04/12/2018 12:00:00 AM +0000,Admin Hearing Citation,002559,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1000,Liable,07/12/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,628,Liable,08/08/2019 12:00:00 AM +0000
2019-031250 CV,02/27/2019 12:00:00 AM +0000,Admin Hearing Citation,06984,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,0,Closed/Mailed in Penalty Paid,05/09/2019 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,002084,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1000,Liable,07/12/2019 12:00:00 AM +0000
2018-163252 CV,09/13/2018 12:00:00 AM +0000,Admin Hearing Citation,5297,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,11/28/2018 12:00:00 AM +0000
2018-159445 CV,09/06/2018 12:00:00 AM +0000,Admin Hearing Citation,4411,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,02/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Liable,07/12/2019 12:00:00 AM +0000
2018-119316 CV,07/16/2018 12:00:00 AM +0000,Admin Hearing Citation,005159,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",1000,1128,Liable,01/08/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,830,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,635,715,Liable,04/12/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",80,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-118735 CV,07/14/2018 12:00:00 AM +0000,Admin Hearing Citation,005175,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Penalty Paid,12/10/2018 12:00:00 AM +0000
2018-076999 CV,04/26/2018 12:00:00 AM +0000,Admin Hearing Citation,002555,80673,"This section applies to a short-term rental use that is not owner-occupied and is not associated with an owner-occupied principal residential unit.  A short-term rental use under this section may not include the rental of less than an entire dwelling unit, operate without a license as required by Section 25-2-790 (License Requirements), or operate without providing notification to renters as required by Section 25-2-791 (Notification Requirements).",80,0,Liable,06/18/2019 12:00:00 AM +0000
